sigma_max_MPa,a_mm,N_cycles,dK_MPa_sqrt_m,dadN_m_per_cyc
80,6.56375,99199.198,12.7313,2.063573e-08
80,6.57500,99744.369,12.7462,2.070800e-08
80,6.58625,100287.637,12.7610,2.078045e-08
80,6.59750,100829.011,12.7759,2.085309e-08
80,6.60875,101368.500,12.7907,2.092591e-08
80,6.62000,101906.111,12.8056,2.099891e-08
80,6.63125,102441.853,12.8204,2.107210e-08
80,6.64250,102975.734,12.8353,2.114547e-08
80,6.65375,103507.763,12.8502,2.121903e-08
80,6.66500,104037.947,12.8650,2.129277e-08
80,6.67625,104566.295,12.8799,2.136670e-08
80,6.68750,105092.816,12.8948,2.144081e-08
80,6.69875,105617.516,12.9097,2.151511e-08
80,6.71000,106140.404,12.9245,2.158960e-08
80,6.72125,106661.488,12.9394,2.166427e-08
80,6.73250,107180.776,12.9543,2.173913e-08
80,6.74375,107698.276,12.9692,2.181418e-08
80,6.75500,108213.996,12.9841,2.188942e-08
80,6.76625,108727.943,12.9990,2.196485e-08
80,6.77750,109240.125,13.0139,2.204047e-08
80,6.78875,109750.549,13.0288,2.211627e-08
80,6.80000,110259.225,13.0437,2.219227e-08
80,6.81125,110766.158,13.0586,2.226846e-08
80,6.82250,111271.357,13.0735,2.234483e-08
80,6.83375,111774.829,13.0884,2.242140e-08
80,6.84500,112276.582,13.1034,2.249816e-08
80,6.85625,112776.623,13.1183,2.257512e-08
80,6.86750,113274.959,13.1332,2.265227e-08
80,6.87875,113771.598,13.1481,2.272961e-08
80,6.89000,114266.547,13.1631,2.280714e-08
80,6.90125,114759.814,13.1780,2.288487e-08
80,6.91250,115251.405,13.1929,2.296279e-08
80,6.92375,115741.328,13.2079,2.304091e-08
80,6.93500,116229.590,13.2228,2.311922e-08
80,6.94625,116716.198,13.2378,2.319773e-08
80,6.95750,117201.159,13.2527,2.327644e-08
80,6.96875,117684.480,13.2677,2.335534e-08
80,6.98000,118166.169,13.2827,2.343444e-08
80,6.99125,118646.232,13.2976,2.351374e-08
80,7.00250,119124.675,13.3126,2.359323e-08
80,7.01375,119601.507,13.3276,2.367293e-08
80,7.02500,120076.734,13.3425,2.375282e-08
80,7.03625,120550.362,13.3575,2.383291e-08
80,7.04750,121022.398,13.3725,2.391321e-08
80,7.05875,121492.849,13.3875,2.399370e-08
80,7.07000,121961.722,13.4025,2.407439e-08
80,7.08125,122429.024,13.4175,2.415529e-08
80,7.09250,122894.760,13.4325,2.423639e-08
80,7.10375,123358.938,13.4475,2.431769e-08
80,7.11500,123821.565,13.4625,2.439919e-08
80,7.12625,124282.646,13.4775,2.448089e-08
80,7.13750,124742.188,13.4925,2.456280e-08
80,7.14875,125200.197,13.5075,2.464492e-08
80,7.16000,125656.681,13.5225,2.472723e-08
80,7.17125,126111.645,13.5376,2.480976e-08
80,7.18250,126565.095,13.5526,2.489248e-08
80,7.19375,127017.039,13.5676,2.497542e-08
80,7.20500,127467.482,13.5827,2.505856e-08
