disp_um,force_N,crack_length,net_growth,cmod_um,tortuosity,n_branch,n_segment,tip_x,tip_y,direction_deg,K_I,K_c,growth_rate,initiated,severity,unstable
7.5500,2.7382,1.73312,1.19098,7.53795,0.9952,0,1,1.0000,0.3475,-16.97,97.173,789.353,10.0495,1,heavy,0
7.6000,2.7530,1.73367,1.19153,7.58787,0.9952,0,1,1.0000,0.3475,-16.97,97.696,789.353,11.7321,1,heavy,0
7.6500,2.7673,1.73429,1.19215,7.63778,0.9952,0,1,1.0000,0.3475,-16.97,98.206,789.353,12.9085,1,heavy,0
7.7000,2.7813,1.73496,1.19282,7.68769,0.9952,0,1,1.0000,0.3475,-16.97,98.702,789.353,19.5980,1,heavy,0
7.7500,2.7903,1.73625,1.19411,7.73759,0.9952,0,1,1.0000,0.3474,-16.97,99.021,789.353,33.6543,1,heavy,0
7.8000,2.7935,1.73833,1.19619,7.78749,0.9952,0,1,1.0000,0.3474,-16.97,99.135,789.353,34.2039,1,heavy,0
7.8500,2.8025,1.73967,1.19753,7.83740,0.9952,0,1,1.0000,0.3474,-16.97,99.454,789.353,24.0770,1,heavy,0
7.9000,2.8141,1.74074,1.19860,7.88731,0.9952,0,1,1.0000,0.3474,-16.97,99.865,789.353,20.8899,1,heavy,0
7.9500,2.8252,1.74176,1.19962,7.93722,0.9952,0,1,1.0000,0.3474,-16.97,100.259,789.353,24.6095,1,heavy,0
8.0000,2.8332,1.74320,1.20106,7.98712,0.9952,0,1,1.0000,0.3474,-16.97,100.543,789.353,35.6402,1,heavy,0
8.0500,2.8358,1.74532,1.20318,8.03702,0.9952,0,1,1.0000,0.3474,-16.97,100.638,789.353,36.0656,1,heavy,0
8.1000,2.8435,1.74680,1.20467,8.08693,0.9952,0,1,1.0000,0.3474,-16.97,100.910,789.353,34.4104,1,heavy,0
8.1500,2.8437,1.74876,1.20663,8.13683,0.9952,0,1,1.0000,0.3474,-16.97,100.916,789.353,84.1294,1,heavy,0
8.2000,2.7438,1.75522,1.21308,8.18672,0.9952,0,1,1.0000,0.3474,-16.97,97.373,789.353,110.5772,1,heavy,0
8.2500,2.7025,1.75982,1.21768,8.23661,0.9952,0,1,1.0000,0.3474,-16.97,95.907,789.353,64.8054,1,heavy,0
8.3000,2.7068,1.76170,1.21956,8.28651,0.9952,0,1,1.0000,0.3474,-16.97,96.058,789.353,37.0246,1,heavy,0
8.3500,2.7127,1.76352,1.22139,8.33641,0.9951,0,1,1.0000,0.3474,-16.97,96.268,789.353,35.8196,1,heavy,0
8.4000,2.7176,1.76528,1.22314,8.38631,0.9951,0,1,1.0000,0.3474,-16.97,96.441,789.353,32.7922,1,heavy,0
8.4500,2.7255,1.76680,1.22466,8.43621,1.0083,0,1,1.0000,0.3474,-16.97,96.722,789.353,36.1970,1,heavy,0
8.5000,2.7294,1.76890,1.22676,8.48611,1.0083,0,1,1.0000,0.3474,-16.97,96.861,789.353,33.6660,1,heavy,0
8.5500,2.7399,1.77017,1.22803,8.53601,1.0083,0,1,1.0000,0.3474,-16.97,97.232,789.353,24.4769,1,heavy,0
8.6000,2.7508,1.77135,1.22921,8.58591,1.0083,0,1,1.0000,0.3474,-16.97,97.620,789.353,22.4243,1,heavy,0
8.6500,2.7615,1.77241,1.23027,8.63582,1.0083,0,1,1.0000,0.3474,-16.97,97.999,789.353,27.4375,1,heavy,0
8.7000,2.7697,1.77409,1.23195,8.68572,1.0083,0,1,1.0000,0.3474,-16.97,98.291,789.353,39.3014,1,heavy,0
8.7500,2.7747,1.77634,1.23420,8.73561,1.0083,0,1,1.0000,0.3474,-16.97,98.466,789.353,47.9475,1,heavy,0
8.8000,2.7782,1.77888,1.23675,8.78551,1.0083,0,1,1.0000,0.3474,-16.97,98.591,789.353,36.4341,1,heavy,0
8.8500,2.7898,1.77999,1.23785,8.83541,1.0083,0,1,1.0000,0.3474,-16.97,99.005,789.353,23.7215,1,heavy,0
8.9000,2.8017,1.78126,1.23912,8.88532,1.0083,0,1,1.0000,0.3474,-16.98,99.427,789.353,24.1807,1,heavy,0
8.9500,2.8136,1.78240,1.24027,8.93522,1.0083,0,1,1.0000,0.3474,-16.98,99.849,789.353,21.3529,1,heavy,0
9.0000,2.8262,1.78339,1.24125,8.98513,1.0083,0,1,1.0000,0.3474,-16.98,100.295,789.353,17.2961,1,heavy,0
9.0500,2.8394,1.78413,1.24200,9.03503,1.0083,0,1,1.0000,0.3474,-16.98,100.766,789.353,18.8752,1,heavy,0
9.1000,2.8517,1.78528,1.24314,9.08494,1.0083,0,1,1.0000,0.3473,-16.98,101.199,789.353,21.0239,1,heavy,0
9.1500,2.8649,1.78624,1.24410,9.13485,1.0083,0,1,1.0000,0.3473,-16.98,101.668,789.353,12.7039,1,heavy,0
9.2000,2.8804,1.78655,1.24441,9.18477,1.0083,0,1,1.0000,0.3473,-16.98,102.220,789.353,9.9623,1,heavy,0
9.2500,2.8946,1.78723,1.24509,9.23467,1.0083,0,1,1.0000,0.3473,-16.98,102.723,789.353,13.2671,1,heavy,0
9.3000,2.9086,1.78788,1.24574,9.28458,1.0083,0,1,1.0000,0.3473,-16.98,103.219,789.353,15.7053,1,heavy,0
9.3500,2.9215,1.78880,1.24666,9.33450,1.0083,0,1,1.0000,0.3473,-16.98,103.679,789.353,18.1007,1,heavy,0
9.4000,2.9343,1.78969,1.24755,9.38441,1.0017,0,1,1.0000,0.3473,-16.98,104.131,789.353,26.4336,1,heavy,0
9.4500,2.9440,1.79145,1.24931,9.43431,1.0017,0,1,1.0000,0.3473,-16.98,104.474,789.353,29.7761,1,heavy,0
9.5000,2.9547,1.79266,1.25053,9.48422,1.0017,0,1,1.0000,0.3473,-16.98,104.855,789.353,26.9594,1,heavy,0
9.5500,2.9638,1.79414,1.25200,9.53413,1.0017,0,1,1.0000,0.3473,-16.98,105.179,789.353,30.8708,1,heavy,0
9.6000,2.9726,1.79575,1.25361,9.58404,1.0017,0,1,1.0000,0.3473,-16.98,105.491,789.353,27.9208,1,heavy,0
9.6500,2.9837,1.79693,1.25480,9.63395,1.0017,0,1,1.0000,0.3473,-16.98,105.885,789.353,20.4489,1,heavy,0
9.7000,2.9966,1.79780,1.25566,9.68386,1.0017,0,1,1.0000,0.3473,-16.98,106.341,789.353,21.2855,1,heavy,0
9.7500,3.0081,1.79906,1.25692,9.73378,1.0017,0,1,1.0000,0.3473,-16.99,106.750,789.353,19.7742,1,heavy,0
9.8000,3.0215,1.79977,1.25764,9.78369,1.0017,0,1,1.0000,0.3473,-16.99,107.226,789.353,16.5648,1,heavy,0
9.8500,3.0339,1.80072,1.25858,9.83360,1.0017,0,1,1.0000,0.3472,-16.99,107.667,789.353,16.5650,1,heavy,0
