disp_mm,force_N
7.749999999999999944e-03,2.790277246853328563e+00
7.800000000000000509e-03,2.793501357862247847e+00
7.850000000000001074e-03,2.802476387866650764e+00
7.900000000000000772e-03,2.814065259723518952e+00
7.950000000000000469e-03,2.825159713686415053e+00
8.000000000000000167e-03,2.833171442458924716e+00
8.049999999999999864e-03,2.835847222364386688e+00
8.099999999999999561e-03,2.843514561055894507e+00
8.150000000000000994e-03,2.843668705796100316e+00
8.200000000000000691e-03,2.743840947924244933e+00
8.250000000000000389e-03,2.702526917588704336e+00
8.300000000000000086e-03,2.706796289739018313e+00
8.349999999999999784e-03,2.712694102155926767e+00
8.400000000000001216e-03,2.717573149130199983e+00
8.450000000000000913e-03,2.725495743444606322e+00
8.500000000000000611e-03,2.729425095588813743e+00
8.550000000000000308e-03,2.739877815914160131e+00
8.600000000000000006e-03,2.750805114946853980e+00
8.649999999999999703e-03,2.761474726122851386e+00
8.700000000000001135e-03,2.769711245725517301e+00
8.750000000000000833e-03,2.774651988734524899e+00
8.800000000000000530e-03,2.778176675048329436e+00
8.850000000000000228e-03,2.789825997715232209e+00
8.899999999999999925e-03,2.801731080938403728e+00
8.949999999999999623e-03,2.813617864536734459e+00
9.000000000000001055e-03,2.826182324566004489e+00
9.050000000000000752e-03,2.839445282840959539e+00
9.100000000000000450e-03,2.851650521134314165e+00
9.150000000000000147e-03,2.864876044078739525e+00
9.199999999999999845e-03,2.880435631148016373e+00
9.250000000000001277e-03,2.894591565943226641e+00
9.300000000000000974e-03,2.908586975627758253e+00
9.350000000000000672e-03,2.921528478589663802e+00
9.400000000000000369e-03,2.934282848960577894e+00
9.450000000000000067e-03,2.943951638411912430e+00
9.499999999999999764e-03,2.954670105110194012e+00
9.550000000000001196e-03,2.963796560552049542e+00
9.600000000000000894e-03,2.972586621257073514e+00
9.650000000000000591e-03,2.983709945526636709e+00
9.700000000000000289e-03,2.996565879643561914e+00
9.749999999999999986e-03,3.008082273764561165e+00
